County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Beaver County,Utah,53,6435,0.981132075,0.018867925,0,34.5,0,0.783681005
Beaver County,Pennsylvania,290,169205,0.872413793,0.127586207,0,125.4,40.5,0.714875343
Beaver County,Oklahoma,189,5480,0.957671958,0.042328042,0,,,0.629165553
Beaverhead County,Montana,234,9315,0.867521368,0.132478632,0,86.5,0,0.880305656
Becker County,Minnesota,54,33375,0.925925926,0.074074074,0,61.5,27.5,0.850650597
Beckham County,Oklahoma,312,23290,0.977564103,0.022435897,0,21.8,0,0.629165553
Bedford County,Virginia,196,76935,0.887755102,0.112244898,0,84.7,31.8,0.884284057
Bedford County,Pennsylvania,413,48850,0.840193705,0.159806295,0,10.8,10.8,0.714875343
Bedford County,Tennessee,290,46330,0.965517241,0.034482759,0,26,0,0.945988112
Bee County,Texas,131,32705,0.992366412,0.007633588,0,,,0.891372329
Belknap County,New Hampshire,108,60390,0.916666667,0.083333333,0,27.1,9,0.76406884
Bell County,Texas,630,330860,0.99047619,0.00952381,0,108.1,35.2,0.891372329
Bell County,Kentucky,206,27675,0.878640777,0.121359223,0,78,0,0.920222177
Belmont County,Ohio,317,69230,0.930599369,0.069400631,0,54.5,0,0.834323878
Beltrami County,Minnesota,97,45645,0.979381443,0.020618557,1,20.3,0,0.850650597
Ben Hill County,Georgia,47,17405,0.957446809,0.042553191,0,18,0,0.967672415
Benewah County,Idaho,41,9070,0.902439024,0.097560976,0,22.3,0,0.968883613
Bennett County,South Dakota,13,3445,0.769230769,0.230769231,0,,,0.857210259
Bennington County,Vermont,215,36505,0.995348837,0.004651163,0,40.3,0,0.821290173
Benson County,North Dakota,40,6800,0.85,0.15,0,58.3,31.3,0.933551831
Bent County,Colorado,68,5815,0.897058824,0.102941176,0,70.2,36.9,0.78095535
Benton County,Oregon,188,87455,0.941489362,0.058510638,0,52.1,0,0.897757095
Benton County,Indiana,151,8710,0.953642384,0.046357616,0,53,0,0.92512153
Benton County,Mississippi,106,8380,0.886792453,0.113207547,0,21,0,0.731516457
Benton County,Iowa,366,25720,0.808743169,0.191256831,0,50.3,0,0.906330826
Benton County,Minnesota,118,39455,0.974576271,0.025423729,,21.9,20.8,0.850650597
Benton County,Washington,168,187520,0.970238095,0.029761905,0,158.8,64.9,0.710608062
Benton County,Tennessee,150,16175,0.96,0.04,0,12.7,0,0.945988112
Benton County,Missouri,135,18825,0.903703704,0.096296296,0,,,0.753229107
Benton County,Arkansas,385,245230,0.927272727,0.072727273,1,64.4,0,0.796760502
Benzie County,Michigan,24,17460,0.791666667,0.208333333,0,,,0.771767308
Bergen County,New Jersey,570,930310,0.940350877,0.059649123,0,98.3,46.9,0.529653452
Berkeley County,West Virginia,118,110175,0.898305085,0.101694915,0,63.2,18.9,0.694866631
Berkeley County,South Carolina,206,199080,0.941747573,0.058252427,0,113.7,33.1,0.812866638
Berks County,Pennsylvania,665,414095,0.784962406,0.215037594,0,121.6,2.1,0.714875343
Berkshire County,Massachusetts,444,128565,0.896396396,0.103603604,0,84.9,30.5,0.700716679
Bernalillo County,New Mexico,492,674775,0.981707317,0.018292683,1,31.7,30.2,0.698534578
Berrien County,Michigan,267,155135,0.917602996,0.082397004,0,82.5,79.1,0.771767308
Berrien County,Georgia,81,18985,0.975308642,0.024691358,0,24.1,0,0.967672415
Bertie County,North Carolina,95,20325,0.905263158,0.094736842,0,11.9,0,0.890560355
Bethel Census Area,Alaska,6,17885,0.833333333,0.166666667,6,,,0.769478458
Bexar County,Texas,2240,1858700,0.999107143,0.000892857,1,166.6,81.3,0.891372329
Bibb County,Alabama,126,22570,1,0,0,25.1,5.5,0.880672042
Bibb County,Georgia,209,154195,0.966507177,0.033492823,0,70.5,0,0.967672415
Bienville Parish,Louisiana,190,13925,0.726315789,0.273684211,0,57.9,0,0.743835895
Big Horn County,Wyoming,91,11930,0.901098901,0.098901099,0,75.9,0,0.803817764
Big Horn County,Montana,138,13215,0.956521739,0.043478261,0,114,0,0.880305656
Big Stone County,Minnesota,15,5100,1,0,0,41.2,0,0.850650597
Billings County,North Dakota,58,935,0.982758621,0.017241379,0,22.2,0,0.933551831
Bingham County,Idaho,263,45260,0.931558935,0.068441065,0,97,0,0.968883613
Black Hawk County,Iowa,482,132820,0.933609959,0.066390041,1,84.4,0,0.906330826
Blackford County,Indiana,75,12365,0.973333333,0.026666667,0,16.9,0,0.92512153
Bladen County,North Carolina,124,34455,0.927419355,0.072580645,0,36.9,0,0.890560355
Blaine County,Montana,108,6610,0.944444444,0.055555556,0,55.8,55.8,0.880305656
Blaine County,Idaho,93,21425,0.892473118,0.107526882,1,15.4,0,0.968883613
Blaine County,Oklahoma,289,9775,0.878892734,0.121107266,0,56.9,4.3,0.629165553
Blaine County,Nebraska,20,580,0.75,0.25,0,18.4,0,0.899117407
Blair County,Pennsylvania,333,125915,0.843843844,0.156156156,1,75.4,34,0.714875343
Blanco County,Texas,62,10920,1,0,0,,,0.891372329
Bland County,Virginia,122,6610,0.967213115,0.032786885,,,,0.884284057
Bleckley County,Georgia,29,12835,0.965517241,0.034482759,0,16,0,0.967672415
Bledsoe County,Tennessee,84,14075,0.964285714,0.035714286,0,,,0.945988112
Blount County,Alabama,183,57705,0.912568306,0.087431694,0,13.1,0,0.880672042
Blount County,Tennessee,196,126190,0.959183673,0.040816327,1,30.6,0,0.945988112
Blue Earth County,Minnesota,192,65525,0.947916667,0.052083333,0,57.9,0,0.850650597
